username,pk,full_name,follower_count,following_count,media_count,biography,category,external_url,is_private,is_verified
hoxovg,41252091032,훙 𓈒ㅤׂ 𝜗𝜚,663,612,90,"⋅˚₊‧ ♡ 🎧 ♡ ‧₊˚ ⋅
함께 빛나는 피부와 스타일, 여기는 훙의 뷰티 공간 💕🎨
🌟Glow up with Hoxovg 🌟
—>문의 : DM💌",beauty,None,False,False
tsubasamasuwaka1013,802822940,益若つばさ/Tsubasa Masuwaka🪽,665379,511,890,"🇯🇵producer/150cm/🧑🏻/
💄
・ @candydoll_official 
・@dolly_wink 
・ @bambi_angelcolor 
📷 
・@tsubacame 
📩　↓",,https://tsubasamasuwaka.com/,False,True
lenstownus,25472759166,LENSTOWNUS COLORED CONTACTS LENSES,118708,9,2766,"🌎 Worldwide Shipping 
💌 lenstownusofficial1@gmail.com
📍 @the_piel (JP) 
📍 @lens_town_official (KR)",,https://lenstownus.com/,False,False
big_talk_kiki,45662336364,핫한뉴스,23748,3793,6744,"📢당신이 좋아할 소식
배우/유머/뉴스/취미/여행
한번들어 오면 못나가는 곳🤣
계정에 문의는 dm주세요!💌",actor,https://link.inpock.co.kr/upcrew,False,False
pt_vivek_sharmaa,49767453386,Pt_vivek_sharma,17512,2,111,"🔱बगलामुखी उपासक विवेक शर्मा 🔱
•☎️ 9981742712,6261492574
• हवन, पूजन ,अनुष्ठान और नित्य दर्शन के लिए फॉलो करें |",,https://youtube.com/@ptvivek?feature=shared,False,False
kachiavang,642994412,Kachia,33934,518,333,"beauty & filming 🤍
💌 xkachiax@gmail.com",,https://www.amazon.com/shop/kachiavang,False,False
larissarissalisa,3114780039,Sa,7713,1338,19,Filipi 4:13,,None,False,False
anha_motd,5448302125,안하,45477,408,1463,"#안하눈토리얼 #안하립 💋
ᴄᴏɴᴛᴀᴄᴛ : ᴅᴍ ᴏʀ ᴍᴀɪʟ💌
ana00421@naver.com",,https://youtube.com/@anha_motd?si=k6VFTXn9G49sEiK4,False,False
mis_lens,35387426756,Mislens Colored Contact Lenses,32455,897,3026,"🛍More new colors on the US warehouse!
🔊code ""𝐌𝐈𝟐𝟎"" TO GET 20% OFF
👇 Shop now 
😍Cos:@mislens_crazyhub 
📕REDnote:@Mislens
👀 Eyes:@mislens_sns",,https://mislens.com/?referral_code=KUYOA4T3UCKC&source_type=sales_plugin_af&slt=sales_plugin_af&utm_source=IG+HQY&utm_medium=mis_lens&utm_campaign=shop+now+for+20%2525+off,False,False
ringo_lyn,533329843,이린 [イ・リンLEE LYN李璘]Official,579812,794,1548,"이린🇰🇷⇔🇯🇵 1st Korean Gravure idol in Japan｜Actress🥋
Maxim Columnist｜Miss iD2021 Kodansha  
※과도하게 선정적인 동일이름 계정과 무관합니다  
No ties to explicit/copycat acct",,https://link.inpock.co.kr/ringo_lyn,False,True
davich_dong_gu,73979834849,다비치안경 동구청점,1,3,4,"👓 다비치안경 동구청점  
📍 동구청역 1번 출구 도보 1분  
👀 맞춤 안경 & 인기 렌즈 할인 중!  
👇 블로그 ↓  
https://blog.naver.com/kyonguy187",contacts,https://blog.naver.com/kyonguy187,False,False
kylesharptonmedia,73304253062,KyleSharptonMedia,7,47,16,"Photography 📸
Videography 🎥",,None,False,False
